date,month,start_date,start_adjusted_close,end_date,end_adjusted_close,nvda_return,source_url
2019-01,Jan 2019,2018-12-31,3.309553384780884,2019-01-31,3.56365704536438,0.07677883721471357,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2019-02,Feb 2019,2019-01-31,3.56365704536438,2019-02-28,3.8281474113464355,0.07421880461985131,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2019-03,Mar 2019,2019-02-28,3.8281474113464355,2019-03-29,4.455998420715332,0.16400909941659458,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2019-04,Apr 2019,2019-03-29,4.455998420715332,2019-04-30,4.491733074188232,0.008019449312812732,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2019-05,May 2019,2019-04-30,4.491733074188232,2019-05-31,3.3654403686523438,-0.25074791554470044,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2019-06,Jun 2019,2019-05-31,3.3654403686523438,2019-06-28,4.0802178382873535,0.2123875009918048,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2019-07,Jul 2019,2019-06-28,4.0802178382873535,2019-07-31,4.191769123077393,0.02733954146841877,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2019-08,Aug 2019,2019-07-31,4.191769123077393,2019-08-30,4.165826797485352,-0.006188872724219974,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2019-09,Sept 2019,2019-08-30,4.165826797485352,2019-09-30,4.328968524932861,0.03916190839858924,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2019-10,Oct 2019,2019-09-30,4.328968524932861,2019-10-31,4.9991912841796875,0.15482273788470668,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2019-11,Nov 2019,2019-10-31,4.9991912841796875,2019-11-29,5.394112586975098,0.07899703778992584,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2019-12,Dec 2019,2019-11-29,5.394112586975098,2019-12-31,5.856024265289307,0.08563256158752863,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2020-01,Jan 2020,2019-12-31,5.856024265289307,2020-01-31,5.8841447830200195,0.0048019810808150876,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2020-02,Feb 2020,2020-01-31,5.8841447830200195,2020-02-28,6.725380897521973,0.14296658996724942,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
2020-03,Mar 2020,2020-02-28,6.725380897521973,2020-03-31,6.564263343811035,-0.023956643670591582,https://query2.finance.yahoo.com/v8/finance/chart/NVDA?period1=1480550400&period2=1780617600&interval=1d&events=history&includeAdjustedClose=true
