date,month,return_decimal,return_percent
2017-01,Jan 2017,0.01896619487883644,1.896619487883644
2017-02,Feb 2017,0.039708178764865654,3.9708178764865654
2017-03,Mar 2017,0.0011647620747521348,0.11647620747521348
2017-04,Apr 2017,0.010270539195507356,1.0270539195507356
2017-05,May 2017,0.014072531092810037,1.4072531092810037
2017-06,Jun 2017,0.006241750550943559,0.6241750550943559
2017-07,Jul 2017,0.02056280365850882,2.056280365850882
2017-08,Aug 2017,0.0030620867698973875,0.30620867698973875
2017-09,Sept 2017,0.020627755782101964,2.0627755782101964
2017-10,Oct 2017,0.023334751501988382,2.333475150198838
2017-11,Nov 2017,0.030669580718061917,3.0669580718061917
2017-12,Dec 2017,0.011118318682830974,1.1118318682830974
2018-01,Jan 2018,0.05725377894461947,5.725377894461947
2018-02,Feb 2018,-0.03685581181395381,-3.685581181395381
2018-03,Mar 2018,-0.025414020168213147,-2.5414020168213147
2018-04,Apr 2018,0.003837109768069835,0.3837109768069835
2018-05,May 2018,0.024082244244804096,2.4082244244804096
2018-06,Jun 2018,0.006154449872648016,0.6154449872648016
2018-07,Jul 2018,0.03721476479445185,3.721476479445185
2018-08,Aug 2018,0.032583990699538656,3.2583990699538656
2018-09,Sept 2018,0.0056920706182788106,0.5692070618278811
2018-10,Oct 2018,-0.06834998886769361,-6.834998886769361
2018-11,Nov 2018,0.020378083784286183,2.0378083784286183
2018-12,Dec 2018,-0.0902898436547529,-9.02898436547529
2019-01,Jan 2019,0.08013483569189983,8.013483569189983
2019-02,Feb 2019,0.03210851327546971,3.210851327546971
2019-03,Mar 2019,0.019431281619924246,1.9431281619924246
2019-04,Apr 2019,0.04048931393952193,4.048931393952193
2019-05,May 2019,-0.0635480335027736,-6.35480335027736
2019-06,Jun 2019,0.07047670780596915,7.047670780596915
2019-07,Jul 2019,0.014373109105911164,1.4373109105911164
2019-08,Aug 2019,-0.015841356518145777,-1.5841356518145777
2019-09,Sept 2019,0.018710674837483898,1.8710674837483898
2019-10,Oct 2019,0.02165901486088595,2.165901486088595
2019-11,Nov 2019,0.03629905189411575,3.6299051894115753
2019-12,Dec 2019,0.030182811111814756,3.0182811111814756
2020-01,Jan 2020,-0.00039212586234349533,-0.039212586234349533
2020-02,Feb 2020,-0.08231873294630587,-8.231873294630587
2020-03,Mar 2020,-0.12351349571065617,-12.351349571065617
2020-04,Apr 2020,0.12819402479140174,12.819402479140173
2020-05,May 2020,0.04762743737938613,4.762743737938613
2020-06,Jun 2020,0.01988818896464828,1.988818896464828
2020-07,Jul 2020,0.05638519336235093,5.638519336235093
2020-08,Aug 2020,0.07187979994601834,7.187979994601834
2020-09,Sept 2020,-0.03799716499763972,-3.799716499763972
2020-10,Oct 2020,-0.026592680019229653,-2.6592680019229653
2020-11,Nov 2020,0.10946365941098035,10.946365941098035
2020-12,Dec 2020,0.03844857198813356,3.844857198813356
2021-01,Jan 2021,-0.01009624917619234,-1.009624917619234
2021-02,Feb 2021,0.027574537649545094,2.7574537649545094
2021-03,Mar 2021,0.04379560734264487,4.379560734264487
2021-04,Apr 2021,0.053369027112194045,5.3369027112194045
2021-05,May 2021,0.006984127269920037,0.6984127269920037
2021-06,Jun 2021,0.023345476895568984,2.3345476895568984
2021-07,Jul 2021,0.023754322593721122,2.375432259372112
2021-08,Aug 2021,0.03040565081251234,3.040565081251234
2021-09,Sept 2021,-0.046509384175090984,-4.650938417509098
2021-10,Oct 2021,0.07006129606134426,7.006129606134426
2021-11,Nov 2021,-0.006928760290665026,-0.6928760290665026
2021-12,Dec 2021,0.04481641810716064,4.481641810716064
2022-01,Jan 2022,-0.05174684964309462,-5.174684964309462
2022-02,Feb 2022,-0.029942154424401735,-2.9942154424401735
2022-03,Mar 2022,0.037129991432832465,3.7129991432832465
2022-04,Apr 2022,-0.08720158087452601,-8.720158087452601
2022-05,May 2022,0.001833949628145648,0.1833949628145648
2022-06,Jun 2022,-0.0825436110733131,-8.25436110733131
2022-07,Jul 2022,0.0922044440182046,9.22044440182046
2022-08,Aug 2022,-0.04078136096557594,-4.078136096557595
2022-09,Sept 2022,-0.09209948776769283,-9.209948776769284
2022-10,Oct 2022,0.08096129329787738,8.096129329787738
2022-11,Nov 2022,0.05588472553719126,5.588472553719126
