Statistic,CAPM,q-factor,q5
alpha,3.01484254348939,3.0413870914077332,2.965217346361979
[NW t-stat],4.93329717453245,5.240674129972456,5.47920460908555
beta_MKT,-0.056471774483363504,-0.02234458678698492,0.009788608256523638
[NW t-stat],-0.504926853765353,-0.26163791370414896,0.1396402583250897
beta_ME,-,-0.22159706424322842,-0.09322308830940343
[NW t-stat],-,-1.289866228739692,-0.6911915693344725
beta_IA,-,0.12188113980080242,0.27317478137633816
[NW t-stat],-,1.1217922229729573,1.3865572798610515
beta_ROE,-,-0.16054169304420118,-0.350060927413266
[NW t-stat],-,-1.2556715187108065,-1.881553448724764
beta_EG,-,-,0.3659132230753569
[NW t-stat],-,-,1.0698183004842012
R-squared,0.005705158332540705,0.03986410494524495,0.06893675279256606
Adjusted R-squared,-0.004872446366049443,-0.0023396706615574914,0.017211016836597537
N,96,96,96.0
