Model,Monthly alpha (%),NW t-stat,Annual alpha (%),R-squared
CAPM,3.01484254348939,4.93329717453245,42.82283079934419,0.005705158332540705
q-factor,3.0413870914077332,5.240674129972456,43.26508299484699,0.03986410494524495
q5,2.965217346361979,5.47920460908555,41.99939265372947,0.06893675279256606
