Window,Start,End,N,Monthly_Alpha_Pct,NW_t,p_value,R_squared,Adjusted_R_squared
2017-2020,2017-01,2020-12,48,3.9219940123872634,6.0100618301653785,3.8417868800517865e-07,0.40366985863197635,0.332678175135783
2018-2021,2018-01,2021-12,48,4.375842950940179,5.959695145980462,4.5392871539809907e-07,0.18074972340300566,0.08321992857003002
2019-2022,2019-01,2022-12,48,3.1031568209774028,4.126996376725937,0.00017033549841307446,0.09068535153239154,-0.017566392332799996
2020-2023,2020-01,2023-12,48,2.6470845595565224,3.302982360187922,0.00196070118986178,0.09881345720105661,-0.00847065503691291
2021-2024,2021-01,2024-12,48,1.7393261169808094,3.3069621094399118,0.0019387860222676333,0.17915613806291353,0.08143663068945084
